%StNo BotDep	TimeJ	T090C	DepSM	PrDM	SeaTurbMtr
08 47	7.528778	4.9796	-0.009	-0.009	0.615
08 47	7.528779	4.9796	0.001	0.001	0.619
08 47	7.528779	4.9797	-0.009	-0.009	0.619
08 47	7.528780	4.9793	-0.009	-0.009	0.615
08 47	7.528780	4.9791	0.001	0.001	0.615
08 47	7.528781	4.9789	0.002	0.002	0.612
08 47	7.528781	4.9788	0.002	0.002	0.608
08 47	7.528782	4.9783	0.002	0.002	0.608
08 47	7.528782	4.9780	0.001	0.001	0.608
08 47	7.528783	4.9777	0.002	0.002	0.604
08 47	7.528783	4.9773	0.002	0.002	0.608
08 47	7.528784	4.9769	-0.009	-0.009	0.604
08 47	7.528784	4.9761	0.001	0.001	0.604
08 47	7.528785	4.9756	0.002	0.002	0.601
08 47	7.528785	4.9750	0.002	0.002	0.601
08 47	7.528786	4.9750	-0.024	-0.024	0.601
08 47	7.528786	4.9752	0.014	0.014	0.601
08 47	7.528787	4.9755	-0.009	-0.009	0.604
08 47	7.528787	4.9761	0.002	0.002	0.604
08 47	7.528788	4.9767	-0.011	-0.011	0.604
08 47	7.528788	4.9778	0.002	0.002	0.604
08 47	7.528789	4.9781	-0.022	-0.022	0.608
08 47	7.528789	4.9788	0.002	0.002	0.608
08 47	7.528790	4.9796	-0.011	-0.011	0.615
08 47	7.528790	4.9813	-0.009	-0.009	0.619
08 47	7.528791	4.9829	-0.022	-0.022	0.630
08 47	7.528791	4.9837	-0.009	-0.009	0.630
08 47	7.528791	4.9838	-0.011	-0.011	0.626
08 47	7.528792	4.9846	-0.022	-0.022	0.623
08 47	7.528792	4.9852	-0.009	-0.009	0.626
08 47	7.528793	4.9864	-0.011	-0.011	0.634
08 47	7.528793	4.9868	-0.009	-0.009	0.630
08 47	7.528794	4.9859	-0.022	-0.022	0.630
08 47	7.528794	4.9844	-0.009	-0.009	0.626
08 47	7.528795	4.9833	-0.011	-0.011	0.623
08 47	7.528795	4.9818	-0.009	-0.009	0.623
08 47	7.528796	4.9810	-0.009	-0.009	0.626
08 47	7.528796	4.9801	-0.022	-0.022	0.626
08 47	7.528797	4.9791	-0.011	-0.011	0.630
08 47	7.528797	4.9789	-0.009	-0.009	0.626
08 47	7.528798	4.9788	-0.009	-0.009	0.626
08 47	7.528798	4.9788	-0.024	-0.024	0.623
08 47	7.528799	4.9789	-0.022	-0.022	0.619
08 47	7.528799	4.9785	-0.009	-0.009	0.615
08 47	7.528800	4.9786	-0.022	-0.022	0.615
08 47	7.528800	4.9788	-0.024	-0.024	0.619
08 47	7.528801	4.9785	-0.022	-0.022	0.615
08 47	7.528801	4.9785	-0.022	-0.022	0.615
08 47	7.528802	4.9780	-0.022	-0.022	0.612
08 47	7.528802	4.9774	-0.035	-0.035	0.608
08 47	7.528803	4.9766	-0.022	-0.022	0.608
08 47	7.528803	4.9756	-0.022	-0.022	0.608
08 47	7.528804	4.9752	-0.024	-0.024	0.612
08 47	7.528804	4.9745	-0.033	-0.034	0.612
08 47	7.528804	4.9741	-0.022	-0.022	0.612
08 47	7.528805	4.9734	-0.022	-0.022	0.612
08 47	7.528805	4.9734	-0.035	-0.035	0.612
08 47	7.528806	4.9731	-0.022	-0.022	0.612
08 47	7.528806	4.9726	-0.022	-0.022	0.612
08 47	7.528807	4.9730	-0.022	-0.022	0.612
08 47	7.528807	4.9736	-0.024	-0.024	0.608
08 47	7.528808	4.9752	-0.022	-0.022	0.608
08 47	7.528808	4.9767	-0.009	-0.009	0.612
08 47	7.528809	4.9792	-0.046	-0.047	0.612
08 47	7.528809	4.9818	0.027	0.027	0.612
08 47	7.528810	4.9838	-0.022	-0.022	0.612
08 47	7.528810	4.9854	-0.022	-0.022	0.612
08 47	7.528811	4.9863	0.012	0.012	0.612
08 47	7.528811	4.9868	-0.009	-0.009	0.612
08 47	7.528812	4.9867	-0.009	-0.009	0.615
08 47	7.528812	4.9857	0.002	0.002	0.615
08 47	7.528813	4.9854	0.001	0.001	0.612
08 47	7.528813	4.9841	0.002	0.002	0.608
08 47	7.528814	4.9830	-0.009	-0.009	0.608
08 47	7.528814	4.9827	0.002	0.002	0.612
08 47	7.528815	4.9832	-0.011	-0.011	0.615
08 47	7.528815	4.9848	-0.009	-0.009	0.619
08 47	7.528816	4.9883	0.002	0.002	0.623
08 47	7.528816	4.9910	0.001	0.001	0.619
08 47	7.528817	4.9939	-0.022	-0.022	0.619
08 47	7.528817	4.9959	0.002	0.002	0.615
08 47	7.528818	4.9973	-0.009	-0.009	0.615
08 47	7.528818	4.9989	0.001	0.001	0.615
08 47	7.528818	5.0000	-0.009	-0.009	0.619
