%StNo BotDep	DepSM	Potemp090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
08 47	-0.009	4.9541	27.9547	22.0995	2.5641e-01	0.4349	0.630	1461.57	78.501	5.8271	7.528711
08 47	-0.009	4.9550	27.9578	22.1018	2.6862e-01	0.4373	0.637	1461.58	78.446	5.8228	7.528712
08 47	0.002	4.9561	27.9591	22.1027	2.6862e-01	0.4385	0.637	1461.59	78.328	5.8138	7.528712
08 47	-0.024	4.9567	27.9672	22.1091	2.6862e-01	0.4349	0.637	1461.60	78.271	5.8092	7.528713
08 47	-0.009	4.9574	27.9720	22.1128	2.6862e-01	0.4373	0.637	1461.61	78.215	5.8047	7.528713
08 47	-0.009	4.9579	27.9738	22.1142	2.6862e-01	0.4349	0.637	1461.61	78.166	5.8010	7.528714
08 47	-0.046	4.9575	27.9761	22.1160	2.5641e-01	0.4373	0.634	1461.62	78.055	5.7927	7.528714
08 47	0.014	4.9563	27.9724	22.1133	2.5641e-01	0.4337	0.634	1461.61	78.008	5.7895	7.528715
08 47	-0.022	4.9553	27.9707	22.1120	2.6862e-01	0.4337	0.634	1461.60	77.898	5.7815	7.528715
08 47	-0.022	4.9547	27.9665	22.1087	2.6862e-01	0.4337	0.634	1461.59	77.844	5.7778	7.528716
08 47	-0.024	4.9542	27.9564	22.1007	2.6862e-01	0.4337	0.634	1461.58	77.800	5.7749	7.528716
08 47	-0.009	4.9536	27.9516	22.0971	2.6862e-01	0.4361	0.630	1461.57	77.694	5.7674	7.528717
08 47	-0.022	4.9538	27.9447	22.0915	2.8083e-01	0.4349	0.626	1461.56	77.653	5.7645	7.528717
08 47	-0.022	4.9541	27.9405	22.0882	2.8083e-01	0.4361	0.623	1461.56	77.605	5.7611	7.528718
08 47	-0.024	4.9558	27.9407	22.0882	2.8083e-01	0.4385	0.623	1461.56	77.496	5.7528	7.528718
08 47	-0.022	4.9574	27.9328	22.0818	2.8083e-01	0.4385	0.619	1461.56	77.452	5.7496	7.528719
08 47	-0.009	4.9582	27.9337	22.0824	2.6862e-01	0.4385	0.619	1461.56	77.349	5.7418	7.528719
08 47	-0.022	4.9588	27.9383	22.0860	2.6862e-01	0.4385	0.619	1461.57	77.310	5.7387	7.528720
08 47	-0.011	4.9596	27.9360	22.0841	2.6862e-01	0.4373	0.619	1461.57	77.213	5.7314	7.528720
08 47	-0.022	4.9601	27.9434	22.0899	2.6862e-01	0.4349	0.623	1461.58	77.173	5.7281	7.528721
08 47	-0.009	4.9604	27.9499	22.0950	2.6862e-01	0.4349	0.626	1461.59	77.136	5.7251	7.528721
08 47	-0.011	4.9600	27.9526	22.0972	2.6862e-01	0.4349	0.630	1461.60	77.050	5.7186	7.528722
08 47	-0.009	4.9594	27.9590	22.1023	2.6862e-01	0.4312	0.626	1461.60	76.950	5.7111	7.528722
08 47	-0.009	4.9594	27.9570	22.1007	2.6862e-01	0.4324	0.623	1461.60	76.917	5.7087	7.528723
08 47	-0.022	4.9591	27.9557	22.0998	2.6862e-01	0.4324	0.619	1461.60	76.889	5.7067	7.528723
08 47	0.001	4.9588	27.9584	22.1019	2.8083e-01	0.4337	0.615	1461.60	76.803	5.7003	7.528723
08 47	-0.009	4.9584	27.9534	22.0980	2.6862e-01	0.4337	0.619	1461.59	76.767	5.6979	7.528724
08 47	-0.009	4.9580	27.9549	22.0993	2.6862e-01	0.4361	0.623	1461.59	76.682	5.6915	7.528724
08 47	-0.009	4.9582	27.9560	22.1000	2.8083e-01	0.4349	0.623	1461.59	76.648	5.6889	7.528725
08 47	-0.011	4.9583	27.9523	22.0972	2.8083e-01	0.4337	0.619	1461.59	76.556	5.6822	7.528725
08 47	-0.009	4.9585	27.9574	22.1012	2.8083e-01	0.4312	0.619	1461.60	76.523	5.6796	7.528726
08 47	-0.009	4.9597	27.9589	22.1022	2.8083e-01	0.4324	0.615	1461.60	76.442	5.6733	7.528726
08 47	-0.011	4.9615	27.9554	22.0993	2.8083e-01	0.4312	0.619	1461.61	76.412	5.6710	7.528727
08 47	-0.009	4.9618	27.9554	22.0992	2.8083e-01	0.4337	0.619	1461.61	76.325	5.6645	7.528727
08 47	-0.009	4.9613	27.9518	22.0964	2.8083e-01	0.4337	0.619	1461.60	76.298	5.6627	7.528728
08 47	-0.022	4.9607	27.9475	22.0931	2.6862e-01	0.4373	0.619	1461.59	76.214	5.6567	7.528728
08 47	-0.024	4.9605	27.9480	22.0935	2.6862e-01	0.4373	0.619	1461.59	76.191	5.6550	7.528729
08 47	-0.022	4.9610	27.9418	22.0885	2.6862e-01	0.4361	0.623	1461.59	76.112	5.6493	7.528729
08 47	-0.009	4.9621	27.9396	22.0867	2.6862e-01	0.4373	0.626	1461.59	76.093	5.6479	7.528730
08 47	-0.033	4.9634	27.9353	22.0832	2.5641e-01	0.4361	0.623	1461.59	76.018	5.6423	7.528730
08 47	-0.011	4.9663	27.9262	22.0757	2.6862e-01	0.4373	0.619	1461.59	75.934	5.6359	7.528731
08 47	-0.022	4.9684	27.9251	22.0746	2.6862e-01	0.4349	0.619	1461.60	75.910	5.6339	7.528731
08 47	-0.022	4.9700	27.9221	22.0721	2.6862e-01	0.4349	0.615	1461.60	75.831	5.6280	7.528732
08 47	-0.011	4.9711	27.9191	22.0696	2.6862e-01	0.4337	0.612	1461.60	75.814	5.6266	7.528732
08 47	-0.022	4.9717	27.9214	22.0714	2.6862e-01	0.4324	0.615	1461.61	75.732	5.6204	7.528733
08 47	-0.022	4.9736	27.9158	22.0668	2.6862e-01	0.4324	0.615	1461.61	75.712	5.6189	7.528733
08 47	-0.009	4.9764	27.9133	22.0645	2.6862e-01	0.4361	0.623	1461.61	75.628	5.6124	7.528734
08 47	-0.011	4.9788	27.9143	22.0650	2.6862e-01	0.4361	0.626	1461.63	75.552	5.6063	7.528734
08 47	-0.009	4.9818	27.9097	22.0612	2.6862e-01	0.4349	0.623	1461.63	75.537	5.6050	7.528735
08 47	-0.009	4.9835	27.9128	22.0635	2.6862e-01	0.4337	0.619	1461.64	75.460	5.5989	7.528735
08 47	-0.009	4.9846	27.9160	22.0658	2.8083e-01	0.4337	0.619	1461.65	75.445	5.5975	7.528736
08 47	0.001	4.9854	27.9154	22.0653	2.8083e-01	0.4324	0.615	1461.65	75.429	5.5963	7.528736
08 47	0.002	4.9863	27.9211	22.0697	2.8083e-01	0.4312	0.612	1461.67	75.358	5.5907	7.528736
08 47	0.002	4.9858	27.9219	22.0704	2.9304e-01	0.4300	0.608	1461.66	75.287	5.5855	7.528737
08 47	0.002	4.9846	27.9239	22.0721	3.0525e-01	0.4288	0.608	1461.66	75.216	5.5803	7.528737
08 47	0.012	4.9824	27.9308	22.0778	3.1746e-01	0.4312	0.608	1461.66	75.199	5.5791	7.528738
08 47	0.002	4.9800	27.9297	22.0771	3.1746e-01	0.4300	0.608	1461.65	75.191	5.5788	7.528738
